Requirement_ID,Activity_Name,Priority,Confidence,Combined_Score,Match_Quality,Req_Quality_Grade,Req_Quality_Score,Quality_Issues,Explanation_Summary,Shared_Terms,Assigned_Engineer,Due_Date,Status,Estimated_Hours,Engineering_Notes
P.9,2.3.2 Regulate System Temperature,QUICK-REVIEW,HIGH,1.419,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,"Semantic: High | Shared: system, temperature | Quality: GOOD","system, temperature",,,PENDING,0.5,
P.9,6.1.1.1 Measure Temperature,QUICK-REVIEW,HIGH,1.384,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: temperature | Quality: GOOD,temperature,,,PENDING,0.5,
P.9,2.3.1 Monitor Thermal Environment,QUICK-REVIEW,HIGH,1.202,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: thermal | Quality: GOOD,thermal,,,PENDING,0.5,
P.9,2.2.2 Condition Power,QUICK-REVIEW,HIGH,1.192,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
P.9,1.3.1 Monitor Microgravity Conditions,QUICK-REVIEW,HIGH,1.161,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: High | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
P.8,2.2.8 Store Electrical Energy,QUICK-REVIEW,HIGH,1.395,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: energy | Quality: GOOD,energy,,,PENDING,0.5,
P.8,1.2.2 Analyze Production Efficiency,QUICK-REVIEW,HIGH,1.308,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: efficiency | Quality: GOOD,efficiency,,,PENDING,0.5,
P.8,2.2.3 Distribute Power,QUICK-REVIEW,HIGH,1.007,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: GOOD,power,,,PENDING,0.5,
P.8,2.2.2 Condition Power,QUICK-REVIEW,HIGH,1.005,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: GOOD,power,,,PENDING,0.5,
P.8,2.2.5 Transmit Electrical Power,QUICK-REVIEW,HIGH,0.966,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: power | Quality: MODERATE,power,,,PENDING,0.5,
P.7,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,1.287,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: metric | Quality: GOOD,metric,,,PENDING,0.5,
P.7,1.1.7 Monitor Fiber Quality,QUICK-REVIEW,HIGH,1.078,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: quality | Quality: GOOD,quality,,,PENDING,0.5,
P.7,4.1.5 Transfer Preform to Production,QUICK-REVIEW,HIGH,0.933,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.7,4.2.5 Store Manufactured Product,QUICK-REVIEW,HIGH,0.928,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: product | Quality: MODERATE,product,,,PENDING,0.5,
P.7,1.2.3 Detect Production Anomalies,QUICK-REVIEW,HIGH,0.922,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.6,1.1.7 Monitor Fiber Quality,QUICK-REVIEW,HIGH,1.579,EXCELLENT,EXCELLENT,100.0,Clarity (medium): low readability score (29.2/100),"Semantic: Medium | Shared: quality, fiber | Quality: EXCELLENT","quality, fiber",,,PENDING,0.5,
P.6,5.1.1 Initiate System Restarts,QUICK-REVIEW,HIGH,1.357,GOOD,EXCELLENT,100.0,Clarity (medium): low readability score (29.2/100),"Semantic: Medium | Shared: system, restart | Quality: GOOD","system, restart",,,PENDING,0.5,
P.6,4.1.5 Transfer Preform to Production,QUICK-REVIEW,HIGH,0.899,MODERATE,EXCELLENT,100.0,Clarity (medium): low readability score (29.2/100),Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.6,1.2.2 Analyze Production Efficiency,QUICK-REVIEW,HIGH,0.872,MODERATE,EXCELLENT,100.0,Clarity (medium): low readability score (29.2/100),Semantic: Medium | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.6,1.2.3 Detect Production Anomalies,QUICK-REVIEW,HIGH,0.867,MODERATE,EXCELLENT,100.0,Clarity (medium): low readability score (29.2/100),Semantic: Medium | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.5,4.2.5 Store Manufactured Product,QUICK-REVIEW,HIGH,1.762,EXCELLENT,EXCELLENT,100.0,Clarity (medium): low readability score (21.5/100),"Semantic: Medium | Shared: product, manufacture | Quality: EXCELLENT","product, manufacture",,,PENDING,0.5,
P.5,4.1.4 Store Preform at Target Parameters,QUICK-REVIEW,HIGH,1.252,GOOD,EXCELLENT,100.0,Clarity (medium): low readability score (21.5/100),Semantic: High | Shared: target | Quality: GOOD,target,,,PENDING,0.5,
P.5,6.2.2 Identify Performance Bottlenecks,QUICK-REVIEW,HIGH,1.082,GOOD,EXCELLENT,100.0,Clarity (medium): low readability score (21.5/100),Semantic: High | Shared: performance | Quality: GOOD,performance,,,PENDING,0.5,
P.5,6.1.3 Store Performance Data,QUICK-REVIEW,HIGH,1.016,GOOD,EXCELLENT,100.0,Clarity (medium): low readability score (21.5/100),Semantic: Medium | Shared: performance | Quality: GOOD,performance,,,PENDING,0.5,
P.5,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,0.966,MODERATE,EXCELLENT,100.0,Clarity (medium): low readability score (21.5/100),Semantic: Medium | Shared: performance | Quality: MODERATE,performance,,,PENDING,0.5,
P.4,7.1.8 Support Platform Structure,QUICK-REVIEW,HIGH,1.076,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 2 conjunction(s); Clarity (medium): low readability score (17.9/100),Semantic: High | Shared: support | Quality: GOOD,support,,,PENDING,0.5,
P.4,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,1.072,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 2 conjunction(s); Clarity (medium): low readability score (17.9/100),Semantic: High | Shared: analysis | Quality: GOOD,analysis,,,PENDING,0.5,
P.4,2.1.3.2 Analyze Faults (Autonomous fault analysis),QUICK-REVIEW,HIGH,1.058,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 2 conjunction(s); Clarity (medium): low readability score (17.9/100),Semantic: High | Shared: analysis | Quality: GOOD,analysis,,,PENDING,0.5,
P.4,4.2.5 Store Manufactured Product,QUICK-REVIEW,HIGH,0.98,MODERATE,EXCELLENT,94.0,Atomicity (medium): contains 2 conjunction(s); Clarity (medium): low readability score (17.9/100),Semantic: Medium | Shared: product | Quality: MODERATE,product,,,PENDING,0.5,
P.4,2.1.3.1 Monitor Sensor Data (Remote diagnostics support),AUTO-APPROVE,HIGH,0.977,MODERATE,EXCELLENT,94.0,Atomicity (medium): contains 2 conjunction(s); Clarity (medium): low readability score (17.9/100),Semantic: High | Shared: support | Quality: MODERATE,support,,,PENDING,0.25,
P.3,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,AUTO-APPROVE,HIGH,0.957,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: manufacturing | Quality: MODERATE,manufacturing,,,PENDING,0.25,
P.3,1.1.5 Cool/ Anneal Fiber,QUICK-REVIEW,HIGH,0.857,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.5,
P.3,1.1.6 Spool Fiber,QUICK-REVIEW,HIGH,0.829,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.5,
P.3,1.1.4 Draw Fiber from Preform,QUICK-REVIEW,HIGH,0.795,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.5,
P.3,1.1.7 Monitor Fiber Quality,QUICK-REVIEW,HIGH,0.784,MODERATE,EXCELLENT,100.0,None,Semantic: Medium | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.5,
P.2,1.2.5.4 Amplify Low Rate Transmission,QUICK-REVIEW,HIGH,1.021,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: rate | Quality: GOOD,rate,,,PENDING,0.5,
P.2,1.2.5.2 Amplify High Rate Transmission,QUICK-REVIEW,HIGH,1.019,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: rate | Quality: GOOD,rate,,,PENDING,0.5,
P.2,1.2.5.3 Transmit Low Rate Signal,QUICK-REVIEW,HIGH,1.012,GOOD,EXCELLENT,100.0,None,Semantic: Medium | Shared: rate | Quality: GOOD,rate,,,PENDING,0.5,
P.2,4.1.5 Transfer Preform to Production,QUICK-REVIEW,HIGH,0.924,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.2,1.2.3 Detect Production Anomalies,QUICK-REVIEW,HIGH,0.911,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
P.1,1.2.5.4 Amplify Low Rate Transmission,QUICK-REVIEW,HIGH,2.054,EXCELLENT,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),"Semantic: High | Shared: rate, low | Quality: EXCELLENT","rate, low",,,PENDING,0.5,
P.1,1.2.5.3 Transmit Low Rate Signal,QUICK-REVIEW,HIGH,2.046,EXCELLENT,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),"Semantic: High | Shared: rate, low | Quality: EXCELLENT","rate, low",,,PENDING,0.5,
P.1,1.2.5.2 Amplify High Rate Transmission,QUICK-REVIEW,HIGH,1.048,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: rate | Quality: GOOD,rate,,,PENDING,0.5,
P.1,1.1.6 Spool Fiber,AUTO-APPROVE,HIGH,0.877,MODERATE,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.25,
P.1,1.1.5 Cool/ Anneal Fiber,QUICK-REVIEW,HIGH,0.831,MODERATE,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: fiber | Quality: MODERATE,fiber,,,PENDING,0.5,
O.23,1.3.2 Detect Off-Nominal Microgravity Conditions,QUICK-REVIEW,HIGH,1.921,EXCELLENT,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),"Semantic: High | Shared: detect, microgravity | Quality: EXCELLENT","detect, microgravity",,,PENDING,0.5,
O.23,1.3.1 Monitor Microgravity Conditions,QUICK-REVIEW,HIGH,1.169,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: microgravity | Quality: GOOD,microgravity,,,PENDING,0.5,
O.23,1.1.7.2 Detect Defects,QUICK-REVIEW,HIGH,1.156,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: Medium | Shared: detect | Quality: GOOD,detect,,,PENDING,0.5,
O.23,2.1.3 Detect Faults,QUICK-REVIEW,HIGH,1.151,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: Medium | Shared: detect | Quality: GOOD,detect,,,PENDING,0.5,
O.23,1.2.3 Detect Production Anomalies,QUICK-REVIEW,HIGH,1.13,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: detect | Quality: GOOD,detect,,,PENDING,0.5,
O.22,6.1.1 Capture Sensor Data (Automated and continuous),AUTO-APPROVE,HIGH,1.196,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: continuous | Quality: GOOD,continuous,,,PENDING,0.25,
O.22,4.1.1 Track Resources (Automated tracking),QUICK-REVIEW,HIGH,1.06,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: automate | Quality: GOOD,automate,,,PENDING,0.5,
O.22,4.1.3.1 Coordinate Automated Resource Transfer,QUICK-REVIEW,HIGH,1.034,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: automate | Quality: GOOD,automate,,,PENDING,0.5,
O.22,4.2.1 Schedule Resupply Operations (Automated scheduling),AUTO-APPROVE,HIGH,1.011,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: automate | Quality: GOOD,automate,,,PENDING,0.25,
O.22,3.1.2 Report Safety Incidents (Automated logging and reporting),AUTO-APPROVE,HIGH,0.977,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: automate | Quality: MODERATE,automate,,,PENDING,0.25,
O.21,1.3.1 Monitor Microgravity Conditions,QUICK-REVIEW,HIGH,1.189,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: microgravity | Quality: GOOD,microgravity,,,PENDING,0.5,
O.21,2.3.1 Monitor Thermal Environment,QUICK-REVIEW,HIGH,1.174,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: environment | Quality: GOOD,environment,,,PENDING,0.5,
O.21,1.3.2 Detect Off-Nominal Microgravity Conditions,AUTO-APPROVE,HIGH,1.162,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: microgravity | Quality: GOOD,microgravity,,,PENDING,0.25,
O.21,3.3.1 Monitor Orbital Environment for Debris,AUTO-APPROVE,HIGH,1.149,GOOD,EXCELLENT,100.0,None,Semantic: High | Shared: environment | Quality: GOOD,environment,,,PENDING,0.25,
O.21,4.1.5 Transfer Preform to Production,QUICK-REVIEW,HIGH,0.933,MODERATE,EXCELLENT,100.0,None,Semantic: High | Shared: production | Quality: MODERATE,production,,,PENDING,0.5,
O.20,2.3.1 Monitor Thermal Environment,QUICK-REVIEW,HIGH,1.165,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: thermal | Quality: GOOD,thermal,,,PENDING,0.5,
O.20,2.2.2 Condition Power,QUICK-REVIEW,HIGH,1.138,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
O.20,1.3.1 Monitor Microgravity Conditions,QUICK-REVIEW,HIGH,1.124,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
O.20,1.3.2 Detect Off-Nominal Microgravity Conditions,QUICK-REVIEW,HIGH,1.108,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: High | Shared: condition | Quality: GOOD,condition,,,PENDING,0.5,
O.20,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,AUTO-APPROVE,HIGH,1.079,GOOD,EXCELLENT,94.0,Verifiability (high): no measurable criteria found,Semantic: High | Shared: condition | Quality: GOOD,condition,,,PENDING,0.25,
O.19,2.1.3.2 Analyze Faults (Autonomous fault analysis),QUICK-REVIEW,HIGH,2.199,EXCELLENT,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s); Clarity (medium): low readability score (1.7/100),"Semantic: High | Shared: fault, analysis | Quality: EXCELLENT","fault, analysis",,,PENDING,0.5,
O.19,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,1.745,EXCELLENT,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s); Clarity (medium): low readability score (1.7/100),"Semantic: High | Shared: analysis, performance | Quality: EXCELLENT","analysis, performance",,,PENDING,0.5,
O.19,2.1.3 Detect Faults,QUICK-REVIEW,HIGH,1.291,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s); Clarity (medium): low readability score (1.7/100),Semantic: Medium | Shared: fault | Quality: GOOD,fault,,,PENDING,0.5,
O.19,5.1.3 Redirect Operations (Reconfiguration after faults),AUTO-APPROVE,HIGH,1.215,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s); Clarity (medium): low readability score (1.7/100),Semantic: High | Shared: fault | Quality: GOOD,fault,,,PENDING,0.25,
O.19,2.1.5.2 Remote Monitoring of Repair Testing,QUICK-REVIEW,HIGH,1.181,GOOD,EXCELLENT,94.0,Atomicity (medium): contains 1 conjunction(s); Clarity (medium): low readability score (1.7/100),Semantic: High | Shared: testing | Quality: GOOD,testing,,,PENDING,0.5,
O.18,3.1.1 Monitor Safety Standards (Automated safety checks),QUICK-REVIEW,HIGH,1.153,GOOD,EXCELLENT,88.0,Atomicity (medium): contains 1 conjunction(s); Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: safety | Quality: GOOD,safety,,,PENDING,0.5,
O.18,3.2.2 Analyze Safety Data,QUICK-REVIEW,HIGH,1.053,GOOD,EXCELLENT,88.0,Atomicity (medium): contains 1 conjunction(s); Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: safety | Quality: GOOD,safety,,,PENDING,0.5,
O.18,3.1.1.1 Conduct Autonomous Safety Inspections,QUICK-REVIEW,HIGH,0.971,MODERATE,EXCELLENT,88.0,Atomicity (medium): contains 1 conjunction(s); Verifiability (high): no measurable criteria found,Semantic: Medium | Shared: safety | Quality: MODERATE,safety,,,PENDING,0.5,
O.18,3.2.1 Detect Safety Hazards (Autonomous hazard detection),QUICK-REVIEW,HIGH,0.938,MODERATE,EXCELLENT,88.0,Atomicity (medium): contains 1 conjunction(s); Verifiability (high): no measurable criteria found,Semantic: High | Shared: safety | Quality: MODERATE,safety,,,PENDING,0.5,
O.18,3.1.2 Report Safety Incidents (Automated logging and reporting),QUICK-REVIEW,HIGH,0.934,MODERATE,EXCELLENT,88.0,Atomicity (medium): contains 1 conjunction(s); Verifiability (high): no measurable criteria found,Semantic: High | Shared: safety | Quality: MODERATE,safety,,,PENDING,0.5,
O.17,4.2.1 Schedule Resupply Operations (Automated scheduling),QUICK-REVIEW,HIGH,1.829,EXCELLENT,EXCELLENT,94.0,Atomicity (high): multiple conjunctions (3) suggest compound requirements; Clarity (medium): low readability score (0.0/100),"Semantic: High | Shared: operation, schedule | Quality: EXCELLENT","operation, schedule",,,PENDING,0.5,
O.17,6.2.1 Evaluate Performance Metrics (Autonomous analysis),QUICK-REVIEW,HIGH,1.737,EXCELLENT,EXCELLENT,94.0,Atomicity (high): multiple conjunctions (3) suggest compound requirements; Clarity (medium): low readability score (0.0/100),"Semantic: High | Shared: analysis, performance | Quality: EXCELLENT","analysis, performance",,,PENDING,0.5,
O.17,6.1.3 Store Performance Data,QUICK-REVIEW,HIGH,1.701,EXCELLENT,EXCELLENT,94.0,Atomicity (high): multiple conjunctions (3) suggest compound requirements; Clarity (medium): low readability score (0.0/100),"Semantic: Medium | Shared: performance, datum | Quality: EXCELLENT","performance, datum",,,PENDING,0.5,
O.17,6.1.1.5 Track Stellar Position,QUICK-REVIEW,HIGH,1.217,GOOD,EXCELLENT,94.0,Atomicity (high): multiple conjunctions (3) suggest compound requirements; Clarity (medium): low readability score (0.0/100),Semantic: Medium | Shared: track | Quality: GOOD,track,,,PENDING,0.5,
O.17,6.1.1.6 Track Sun Position,QUICK-REVIEW,HIGH,1.212,GOOD,EXCELLENT,94.0,Atomicity (high): multiple conjunctions (3) suggest compound requirements; Clarity (medium): low readability score (0.0/100),Semantic: Medium | Shared: track | Quality: GOOD,track,,,PENDING,0.5,
O.16,2.2.4 Transmit Launch Vehicle Power,QUICK-REVIEW,HIGH,2.172,EXCELLENT,EXCELLENT,83.0,Clarity (medium): ambiguous term 'standard'; Atomicity (medium): contains 1 conjunction(s),"Semantic: Medium | Shared: launch, vehicle | Quality: EXCELLENT","launch, vehicle",,,PENDING,0.5,
O.16,3.3.3 Execute End-of-Life Deorbiting Procedures,AUTO-APPROVE,HIGH,1.217,GOOD,EXCELLENT,83.0,Clarity (medium): ambiguous term 'standard'; Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: procedure | Quality: GOOD,procedure,,,PENDING,0.25,
O.16,5.1.3 Redirect Operations (Reconfiguration after faults),QUICK-REVIEW,HIGH,0.888,MODERATE,EXCELLENT,83.0,Clarity (medium): ambiguous term 'standard'; Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: operation | Quality: MODERATE,operation,,,PENDING,0.5,
O.16,2.4.3 Adjust Operations for Radiation Protection,QUICK-REVIEW,HIGH,0.846,MODERATE,EXCELLENT,83.0,Clarity (medium): ambiguous term 'standard'; Atomicity (medium): contains 1 conjunction(s),Semantic: Medium | Shared: operation | Quality: MODERATE,operation,,,PENDING,0.5,
O.16,4.2.1 Schedule Resupply Operations (Automated scheduling),QUICK-REVIEW,HIGH,0.8,MODERATE,EXCELLENT,83.0,Clarity (medium): ambiguous term 'standard'; Atomicity (medium): contains 1 conjunction(s),Semantic: High | Shared: operation | Quality: MODERATE,operation,,,PENDING,0.5,
