ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Entity Score
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",4.2.2 Coordinate Resource Transfers (Remote coordination),0.386,0.352,0.697,0.0,0.0
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",2.1.1.2 Monitor System Health,0.371,0.283,0.788,0.036,0.0
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",1.2.1 Collect Real-Time Production Data,0.405,0.358,0.762,0.0,0.0
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",2.2.3 Distribute Power,0.375,0.03,1.428,0.0,0.0
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",6.1.1 Capture Sensor Data (Automated and continuous),0.338,0.281,0.678,0.0,0.0
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",4.1.3.1 Coordinate Automated Resource Transfer,0.332,0.314,0.574,0.0,0.0
O.8,O.8 Standardized Data Formats,"The system shall utilize standardized data formats and protocols for all manufacturing processes, system operations, and ground communications.",4.1.5 Transfer Preform to Production,0.315,0.214,0.746,0.0,0.0
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",2.3.1 Monitor Thermal Environment,0.487,0.175,1.526,0.0,0.0
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",4.1.3 Receive Resupply,0.442,0.304,1.038,0.0,0.0
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",7.1.1 Receive and Secure Modules in Orbit,0.432,0.563,0.364,0.037,0.0
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",4.2.2 Coordinate Resource Transfers (Remote coordination),0.432,0.393,0.785,0.0,0.0
O.7,O.7 Data Distribution,"The system shall support secure and efficient distribution of manufacturing data, telemetry, and product information between the orbital platform and ground stations, with data transmission reliability of at least 99.9% and a latency of no more than 500 milliseconds, as verified by communication link performance tests.",4.1.2 Request Resupply (Autonomous resupply request),0.418,0.291,0.976,0.0,0.0
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",2.3.2 Regulate System Temperature,0.477,0.161,1.497,0.062,0.0
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",1.3.1 Monitor Microgravity Conditions,0.41,0.365,0.763,0.0,0.0
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",3.1.1 Monitor Safety Standards (Automated safety checks),0.37,0.303,0.754,0.0,0.0
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",2.4.3 Adjust Operations for Radiation Protection,0.317,0.428,0.22,0.059,0.0
O.6,O.6 Environmental Survivability,"The system shall withstand the harsh space environment, including radiation, thermal cycling, and micrometeoroid impacts, without critical failure.",3.2.2 Analyze Safety Data,0.306,0.233,0.664,0.0,0.0
O.5,O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,2.4.1 Monitor Radiation Levels,0.456,0.221,1.296,0.0,0.0
O.5,O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,3.1.1 Monitor Safety Standards (Automated safety checks),0.433,0.373,0.836,0.0,0.0
O.5,O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,2.1.1.1 Conduct Autonomous Diagnostics,0.373,0.325,0.713,0.0,0.0
O.5,O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.348,0.345,0.563,0.0,0.0
O.5,O.5 Operational Availability,The system shall maintain a minimum of 95% operational availability throughout its design life.,4.1.2 Request Resupply (Autonomous resupply request),0.298,0.309,0.449,0.0,0.0
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",7.1.1 Receive and Secure Modules in Orbit,0.513,0.514,0.799,0.043,0.0
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",2.4.2 Analyze Radiation Exposure Data,0.469,0.151,1.496,0.043,0.0
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.423,0.375,0.79,0.0,0.0
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",3.3.1 Monitor Orbital Environment for Debris,0.402,0.382,0.673,0.043,0.0
O.4,O.4 Command and Control,"The system shall provide secure and reliable command and control capabilities for all orbital manufacturing operations, with at least 99.9% command success rate and data integrity, as verified by operational and simulated mission scenarios.",4.2.1 Schedule Resupply Operations (Automated scheduling),0.401,0.31,0.842,0.042,0.0
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,2.4.3 Adjust Operations for Radiation Protection,0.49,0.232,1.404,0.0,0.0
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,1.1.5 Cool/ Anneal Fiber,0.376,0.35,0.63,0.083,0.0
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.358,0.512,0.18,0.062,0.0
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,2.1.4 Repair System,0.34,0.206,0.831,0.083,0.0
O.3,O.3 Safe Return,The system shall return manufactured ZBLAN fibers to Earth safely and intact for commercial use.,3.1.2 Report Safety Incidents (Automated logging and reporting),0.334,0.198,0.861,0.0,0.0
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,3.1.1 Monitor Safety Standards (Automated safety checks),0.531,0.266,1.485,0.0,0.0
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,2.4.1 Monitor Radiation Levels,0.386,0.26,0.923,0.0,0.0
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,1.3.1 Monitor Microgravity Conditions,0.335,0.327,0.556,0.0,0.0
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.325,0.21,0.795,0.0,0.0
O.2,O.2 Continuous Operation,The system shall be designed to operate continuously in the space environment for a minimum of 5 years without requiring physical human intervention.,6.1.1.6 Track Sun Position,0.321,0.233,0.726,0.0,0.0
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.1.5 Cool/ Anneal Fiber,0.501,0.491,0.788,0.091,0.0
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,3.1.2 Report Safety Incidents (Automated logging and reporting),0.411,0.057,1.309,0.0,1.0
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,1.1.7 Monitor Fiber Quality,0.386,0.317,0.548,0.083,1.0
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.364,0.437,0.18,0.067,1.0
O.1,O.1 High-Quality Production,The system shall produce ZBLAN fibers with less than 1 crystallization defect per kilometer of fiber manufactured in microgravity,2.4.3 Adjust Operations for Radiation Protection,0.34,0.123,0.867,0.0,1.0
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,1.1.5 Cool/ Anneal Fiber,0.428,0.378,0.777,0.067,0.0
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,1.1.6 Spool Fiber,0.421,0.415,0.462,0.067,1.0
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,2.4.3 Adjust Operations for Radiation Protection,0.418,0.225,1.132,0.0,0.0
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,3.1.3 Implement Policy Changes,0.4,0.079,1.411,0.0,0.0
I.11,I.11 Product Return Interface,The system shall interface with a secure product return capsule capable of safely transporting at least 50 km of produced ZBLAN fiber to Earth.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.396,0.566,0.18,0.111,0.0
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.448,0.145,1.442,0.0,0.0
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,4.1.1 Track Resources (Automated tracking),0.38,0.226,0.98,0.0,0.0
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,4.1.2 Request Resupply (Autonomous resupply request),0.369,0.41,0.462,0.077,0.0
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,4.2.1 Schedule Resupply Operations (Automated scheduling),0.341,0.463,0.228,0.067,0.0
I.10,I.10 Raw Material Interface,The system shall interface with standardized raw material containers to facilitate easy resupply and material changeout.,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),0.325,0.252,0.693,0.0,0.0
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",3.2.2 Analyze Safety Data,0.488,0.213,1.44,0.0,0.0
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.464,0.438,0.805,0.0,0.0
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",2.1.1 Inspect System,0.372,0.383,0.533,0.083,0.0
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",2.1.4 Repair System,0.369,0.525,0.18,0.083,0.0
I.9,I.9 Maintenance Interface,"The system shall provide interfaces for maintenance activities, allowing for easy access to critical components.",3.2.1 Detect Safety Hazards (Autonomous hazard detection),0.365,0.267,0.82,0.0,0.0
I.8,I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.479,0.251,1.313,0.0,0.0
I.8,I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,3.2.2 Analyze Safety Data,0.392,0.298,0.814,0.091,0.0
I.8,I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,6.1.3 Store Performance Data,0.379,0.29,0.782,0.091,0.0
I.8,I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,1.2.1 Collect Real-Time Production Data,0.329,0.447,0.212,0.077,0.0
I.8,I.8 Data Interface,The system shall interface with external data systems to allow for the exchange of operational data and analytics.,6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.305,0.277,0.557,0.0,0.0
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,3.3.1 Monitor Orbital Environment for Debris,0.391,0.032,1.488,0.0,0.0
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.388,0.311,0.805,0.0,0.0
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,3.2.2 Analyze Safety Data,0.332,0.157,0.952,0.0,0.0
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),0.323,0.299,0.574,0.0,0.0
I.7,I.7 Human Interface,The system shall provide intuitive interfaces that allow trained personnel to perform necessary operations with less than 1 hour of specific task training.,2.1.1 Inspect System,0.317,0.296,0.533,0.062,0.0
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",4.1.2 Request Resupply (Autonomous resupply request),0.389,0.332,0.757,0.0,0.0
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",2.1.4.2 Coordinate Remote Repair Support (Ground-based intervention),0.373,0.324,0.713,0.0,0.0
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",3.3.2 Implement Collision Avoidance Maneuvers,0.362,0.065,1.292,0.0,0.0
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",2.1.1.2 Monitor System Health,0.356,0.272,0.737,0.091,0.0
I.6,I.6 Existing Infrastructure,"The system shall interface with existing space infrastructure for power, data, and other resources.",4.2.2 Coordinate Resource Transfers (Remote coordination),0.346,0.356,0.498,0.077,0.0
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",3.3.3 Execute End-of-Life Deorbiting Procedures,0.397,0.02,1.539,0.0,0.0
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.306,0.1,0.984,0.0,0.0
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",2.1.5 Test System After Repairs,0.285,0.134,0.795,0.053,0.0
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",7.1.4 Verify Hardware Installation,0.272,0.192,0.606,0.053,0.0
I.5,I.5 Launch Vehicle Compatibility,"The system shall be compatible with the SpaceX Falcon 9 and United Launch Alliance Atlas V launch vehicles, as verified through review of the corresponding Interface Control Documents (ICDs) for each vehicle.",4.2.2 Coordinate Resource Transfers (Remote coordination),0.27,0.227,0.537,0.0,0.0
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,4.1.1 Track Resources (Automated tracking),0.488,0.195,1.485,0.0,0.0
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,4.1.3 Receive Resupply,0.374,0.369,0.578,0.077,0.0
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),0.351,0.296,0.693,0.0,0.0
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,4.2.1 Schedule Resupply Operations (Automated scheduling),0.341,0.463,0.228,0.062,0.0
I.4,I.4 Resupply and Retrieval,The system shall accommodate resupply of raw materials and retrieval of finished products via standard cargo spacecraft.,2.1.3.1 Monitor Sensor Data (Remote diagnostics support),0.323,0.206,0.797,0.0,0.0
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",4.1.2 Request Resupply (Autonomous resupply request),0.577,0.343,1.485,0.0,0.0
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",7.1.1 Receive and Secure Modules in Orbit,0.419,0.451,0.574,0.048,0.0
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",8.2.1 Execute Orbital Maneuvers,0.393,0.267,0.933,0.0,0.0
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",6.1.1.2 Measure Vibration,0.383,0.237,0.966,0.0,0.0
I.3,I.3 Infrastructure Interface,"The system shall interface with the host space station or platform for power, thermal management, and structural support during test flights or as needed for repair and operational support on orbit",2.1.5 Test System After Repairs,0.378,0.319,0.681,0.167,0.0
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,1.2.1 Collect Real-Time Production Data,0.537,0.619,0.571,0.231,0.0
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,4.1.3 Receive Resupply,0.518,0.295,1.364,0.0,0.0
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,4.2.2 Coordinate Resource Transfers (Remote coordination),0.455,0.278,1.15,0.0,0.0
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,6.1.1 Capture Sensor Data (Automated and continuous),0.431,0.426,0.674,0.067,0.0
I.2,I.2 Telemetry Transmission,The system shall transmit manufacturing telemetry and product quality data to Earth in real-time.,2.3.1 Monitor Thermal Environment,0.343,0.222,0.84,0.0,0.0
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,4.2.1 Schedule Resupply Operations (Automated scheduling),0.586,0.428,1.315,0.0,0.0
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,4.1.3.2 Update Inventory,0.413,0.257,0.997,0.1,0.0
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,4.1.2 Request Resupply (Autonomous resupply request),0.391,0.427,0.539,0.0,0.0
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,1.2.5 Transmit Data to Ground Control,0.381,0.545,0.145,0.182,0.0
I.1,I.1 Command Reception,The system shall receive commands and software updates from ground control stations.,2.3.4 Provide Local Heating,0.353,0.217,0.891,0.0,0.0
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,4.2.2 Coordinate Resource Transfers (Remote coordination),0.514,0.306,1.323,0.0,0.0
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,1.2.1 Collect Real-Time Production Data,0.481,0.494,0.649,0.231,0.0
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,4.1.3 Receive Resupply,0.479,0.297,1.203,0.0,0.0
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,2.2.4 Transmit Launch Vehicle Power,0.346,0.275,0.696,0.071,0.0
F.19,F.19 Real-Time Data Transmission,The system shall transmit quality control data to Earth in real-time with a latency of no more than 1 second.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.344,0.281,0.703,0.0,0.0
F.18,F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.532,0.259,1.505,0.0,0.0
F.18,F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,3.1.1 Monitor Safety Standards (Automated safety checks),0.339,0.482,0.198,0.0,0.0
F.18,F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,1.2.2 Analyze Production Efficiency,0.335,0.201,0.859,0.0,0.0
F.18,F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,4.2.1 Schedule Resupply Operations (Automated scheduling),0.332,0.306,0.594,0.0,0.0
F.18,F.18 Quality Control Redundancy,The system shall incorporate redundant quality control sensors with automatic failover capabilities to ensure continuous monitoring in case of sensor failure.,6.1.1 Capture Sensor Data (Automated and continuous),0.329,0.457,0.175,0.111,0.0
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,1.1.5 Cool/ Anneal Fiber,0.483,0.52,0.652,0.077,0.0
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.428,0.388,0.758,0.059,0.0
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,5.1.1 Initiate System Restarts,0.371,0.0,1.457,0.071,0.0
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.298,0.12,0.902,0.0,0.0
F.17,F.17 In-situ Annealing,The system shall incorporate in-situ annealing capabilities to reduce internal stresses in the produced ZBLAN fibers.,2.4.3 Adjust Operations for Radiation Protection,0.284,0.178,0.706,0.0,0.0
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,1.1.5 Cool/ Anneal Fiber,0.41,0.323,0.827,0.091,0.0
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.385,0.422,0.502,0.067,0.0
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,1.1.9 Adjust Production Parameters (Autonomous feedback loop),0.381,0.258,0.902,0.0,0.0
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,1.1.6.2 Level Wind Spool,0.357,0.279,0.76,0.0,0.0
F.16,F.16 Fiber Diameter Control,The system shall control the diameter of the produced ZBLAN fiber within ±1% of the target diameter throughout the drawing process.,5.1.2 Activate Backup Systems,0.351,0.021,1.32,0.083,0.0
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.4 Draw Fiber from Preform,0.433,0.426,0.641,0.167,0.0
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.6 Spool Fiber,0.393,0.491,0.16,0.083,1.0
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",2.1.2 Calibrate System,0.391,0.34,0.713,0.083,0.0
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",5.1.3 Redirect Operations (Reconfiguration after faults),0.381,0.064,1.371,0.0,0.0
F.15,F.15 Preform Alignment,"The system shall maintain precise alignment of the ZBLAN preform during the fiber drawing process, with a tolerance of ±0.1 mm.",1.1.7 Monitor Fiber Quality,0.378,0.389,0.548,0.077,0.0
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",5.2.1 Receive Remote Commands,0.541,0.278,1.478,0.048,0.0
