ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Domain Score,Length Norm Score
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.2 Regulate System Temperature,0.474,0.387,0.592,0.154,0.593,0.333
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,0.466,0.551,0.411,0.077,0.17,0.204
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.6 Insulate System Thermally,0.449,0.367,0.7,0.071,0.573,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,1.1.4 Draw Fiber from Preform,0.37,0.251,0.855,0.071,0.17,0.167
P.9,P.9 Thermal Precision,The system shall maintain thermal conditions within ±1°C of the specified temperature range for optimal ZBLAN fiber production.,2.3.3 Transfer Heat Away,0.366,0.406,0.611,0.0,0.0,0.0
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.8 Store Electrical Energy,0.405,0.352,0.786,0.083,0.016,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.1.2 Calibrate System,0.364,0.24,0.544,0.091,0.709,0.224
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",1.2.2 Analyze Production Efficiency,0.352,0.453,0.212,0.083,0.026,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.2.1 Generate Solar Power,0.345,0.297,0.619,0.083,0.086,0.183
P.8,P.8 Energy Efficiency,"The system shall operate with an energy efficiency of at least 80%, minimizing power consumption during manufacturing processes.",2.3.2 Regulate System Temperature,0.344,0.333,0.191,0.083,0.709,0.183
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.2 Calibrate System,0.375,0.284,0.537,0.077,0.619,0.196
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.2.3 Detect Production Anomalies,0.371,0.296,0.74,0.071,0.15,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",1.1.3 Heat Preform,0.371,0.14,1.432,0.0,0.0,0.0
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",4.2.5 Store Manufactured Product,0.331,0.435,0.155,0.071,0.082,0.16
P.7,P.7 Quality Consistency,"The system shall maintain consistent product quality across production runs, with less than 5% variation in key quality metrics between batches.",2.1.4 Repair System,0.33,0.194,0.583,0.077,0.619,0.196
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.1.4 Draw Fiber from Preform,0.571,0.369,1.533,0.071,0.136,0.149
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",2.1.4 Repair System,0.494,0.339,1.056,0.077,0.46,0.183
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.478,0.558,0.534,0.059,0.136,0.105
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",1.2.3 Detect Production Anomalies,0.458,0.359,1.013,0.071,0.111,0.149
P.6,P.6 Production Continuity,"The system shall be capable of automatically restarting fiber production within 10 minutes of a production break, maintaining at least 90% of pre-break production quality.",2.1.3 Detect Faults,0.397,0.224,1.312,0.0,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.5 Cool/ Anneal Fiber,0.549,0.338,1.507,0.056,0.163,0.171
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.2.2 Analyze Production Efficiency,0.367,0.419,0.579,0.0,0.0,0.0
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.359,0.479,0.18,0.045,0.163,0.099
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.6 Spool Fiber,0.357,0.367,0.462,0.056,0.163,0.171
P.5,P.5 Competitive Pricing,"The system shall produce materials at costs competitive with terrestrial alternatives, accounting for performance benefits of space-manufactured products with a target of $800$ per meter of fiber",1.1.7 Monitor Fiber Quality,0.323,0.289,0.548,0.053,0.163,0.14
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",1.1.6 Spool Fiber,0.329,0.033,1.544,0.0,0.0,0.0
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.2 Calibrate System,0.29,0.135,0.537,0.053,0.739,0.167
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",2.1.5 Test System After Repairs,0.289,0.077,0.728,0.05,0.739,0.136
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.263,0.191,0.61,0.045,0.063,0.105
P.4,P.4 Commercial Viability,"The system shall support the generation of revenue from at least three distinct sources: product sales, technology licensing, and contracted research services, as verified by a business case analysis.",4.2.5 Store Manufactured Product,0.243,0.298,0.155,0.05,0.097,0.136
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.7 Monitor Fiber Quality,0.573,0.428,1.257,0.111,0.209,0.218
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.45,0.601,0.18,0.083,0.209,0.154
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.5 Cool/ Anneal Fiber,0.443,0.48,0.411,0.125,0.209,0.267
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.6 Spool Fiber,0.442,0.561,0.16,0.125,0.209,0.267
P.3,P.3 Manufacturing Yield,The system shall achieve a manufacturing yield of at least 95% usable fiber.,1.1.4 Draw Fiber from Preform,0.386,0.391,0.43,0.111,0.209,0.218
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.5 Cool/ Anneal Fiber,0.398,0.328,0.702,0.1,0.17,0.236
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.1.4 Draw Fiber from Preform,0.395,0.282,0.855,0.091,0.17,0.192
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.2.2 Analyze Production Efficiency,0.395,0.379,0.579,0.091,0.138,0.192
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,1.2.3 Detect Production Anomalies,0.378,0.232,0.937,0.091,0.138,0.192
P.2,P.2 Production Rate,The system shall maintain a production rate of at least 500 meters of ZBLAN fiber per day.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.371,0.483,0.18,0.071,0.17,0.136
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.5 Cool/ Anneal Fiber,0.476,0.47,0.652,0.1,0.2,0.236
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.4 Amplify Low Rate Transmission,0.428,0.399,0.564,0.182,0.059,0.333
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.2.5.2 Amplify High Rate Transmission,0.397,0.423,0.517,0.083,0.059,0.167
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.6 Spool Fiber,0.363,0.445,0.16,0.1,0.2,0.236
P.1,P.1 Fiber Quality,The system shall produce ZBLAN fibers with attenuation rates of 0.05 dB/km or lower at 2.5 ?m wavelength.,1.1.7 Monitor Fiber Quality,0.354,0.312,0.548,0.091,0.2,0.192
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.3.2 Detect Off-Nominal Microgravity Conditions,0.483,0.642,0.157,0.154,0.055,0.302
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.2.1 Collect Real-Time Production Data,0.472,0.32,1.398,0.0,0.0,0.0
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,1.3.1 Monitor Microgravity Conditions,0.428,0.579,0.212,0.077,0.055,0.174
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,2.1.2 Calibrate System,0.424,0.336,0.544,0.083,0.755,0.213
O.23,O.23 Microgravity Disturbance Response,The system shall detect and respond to microgravity disturbances within 1 second to maintain manufacturing process stability.,2.3.6 Insulate System Thermally,0.395,0.165,0.94,0.077,0.755,0.174
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.542,0.571,0.785,0.062,0.18,0.118
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.6 Spool Fiber,0.526,0.661,0.16,0.182,0.2,0.408
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.5 Cool/ Anneal Fiber,0.4,0.387,0.563,0.083,0.18,0.204
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.1.4 Draw Fiber from Preform,0.395,0.318,0.769,0.077,0.18,0.167
O.22,O.22 Fiber Spool Management,The system shall incorporate automated fiber spooling mechanisms capable of handling continuous fiber lengths of up to 50 km.,1.2.2 Analyze Production Efficiency,0.378,0.143,1.464,0.0,0.0,0.0
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.7.1 Measure Fiber Diameter,0.423,0.376,0.7,0.1,0.166,0.204
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.4 Draw Fiber from Preform,0.403,0.292,0.855,0.1,0.166,0.204
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.1.5 Cool/ Anneal Fiber,0.378,0.386,0.411,0.111,0.166,0.25
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.3.1 Monitor Microgravity Conditions,0.374,0.479,0.212,0.1,0.041,0.204
O.21,O.21 Microgravity Optimization,The system shall maintain a microgravity environment with less than 10^-6 g during ZBLAN fiber production.,1.2.3 Detect Production Anomalies,0.354,0.123,1.129,0.1,0.136,0.204
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,2.3.2 Regulate System Temperature,0.552,0.543,0.592,0.077,0.747,0.174
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,2.3.6 Insulate System Thermally,0.538,0.483,0.7,0.077,0.747,0.174
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,2.3.5 Radiate Heat,0.414,0.447,0.726,0.0,0.0,0.0
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.385,0.349,0.717,0.067,0.054,0.135
O.20,O.20 Thermal Management,The system shall maintain thermal conditions within specified limits to ensure optimal operation of all components.,2.1.1 Inspect System,0.352,0.224,0.523,0.083,0.747,0.213
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.4 Repair System,0.526,0.543,0.555,0.043,0.658,0.147
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.5 Test System After Repairs,0.489,0.429,0.728,0.042,0.658,0.12
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",1.2.5 Transmit Data to Ground Control,0.419,0.169,1.59,0.0,0.0,0.0
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.1 Inspect System,0.376,0.25,0.682,0.043,0.658,0.147
O.19,O.19 Fault Tolerance,"The system shall include fault-tolerant mechanisms capable of maintaining at least 90% of nominal operational functionality for up to 72 hours following a single-point component failure, as verified through fault injection testing and performance analysis.",2.1.3 Detect Faults,0.369,0.386,0.549,0.043,0.043,0.147
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.422,0.573,0.242,0.059,0.066,0.114
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,1.3.1 Monitor Microgravity Conditions,0.412,0.221,1.397,0.0,0.0,0.0
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.1.1 Monitor Safety Standards (Automated safety checks),0.405,0.444,0.53,0.067,0.066,0.123
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,3.2.2 Analyze Safety Data,0.398,0.363,0.705,0.077,0.066,0.174
O.18,O.18 Crew Safety,The system shall include safety protocols to protect crew members during maintenance and operation in space.,2.1.1 Inspect System,0.367,0.233,0.61,0.083,0.669,0.213
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",1.3.2 Detect Off-Nominal Microgravity Conditions,0.386,0.081,1.598,0.037,0.0,0.096
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",1.2.2 Analyze Production Efficiency,0.368,0.332,0.844,0.0,0.0,0.0
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.35,0.296,0.672,0.074,0.063,0.172
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.344,0.377,0.589,0.0,0.0,0.0
O.17,O.17 Supply Chain Management,"The system shall incorporate supply chain management protocols capable of tracking and verifying the delivery of 95% of raw materials and components within ±5 days of scheduled delivery dates during nominal operations, as verified through system performance simulations and operational data analysis.",4.2.1 Schedule Resupply Operations (Automated scheduling),0.342,0.41,0.289,0.074,0.063,0.172
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.1.5 Test System After Repairs,0.414,0.214,0.961,0.071,0.63,0.16
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.404,0.183,1.471,0.0,0.0,0.0
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.1.1.1 Conduct Autonomous Diagnostics,0.368,0.368,0.735,0.0,0.0,0.0
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",2.1.1 Inspect System,0.347,0.24,0.523,0.077,0.63,0.196
O.16,O.16 Launch Operations,"The system shall integrate seamlessly with launch operations, ensuring compatibility with standard launch vehicle interfaces and procedures.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.343,0.379,0.577,0.0,0.0,0.0
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.1.1 Inspect System,0.489,0.147,1.473,0.062,0.761,0.183
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.4.1 Monitor Radiation Levels,0.469,0.531,0.595,0.059,0.046,0.149
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.4.2 Analyze Radiation Exposure Data,0.449,0.49,0.634,0.056,0.046,0.129
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.4.3 Adjust Operations for Radiation Protection,0.448,0.625,0.22,0.056,0.046,0.129
O.15,O.15 Radiation Protection,"The system shall provide sufficient radiation shielding to protect sensitive equipment and materials, ensuring less than 5% degradation in performance over its operational lifetime.",2.1.2 Calibrate System,0.41,0.245,0.781,0.062,0.761,0.183
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,2.1.2 Calibrate System,0.505,0.215,1.315,0.091,0.726,0.224
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,2.1.4 Repair System,0.354,0.241,0.482,0.091,0.726,0.224
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,2.1.1 Inspect System,0.34,0.136,0.727,0.091,0.726,0.224
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,5.1.2 Activate Backup Systems,0.326,0.121,0.728,0.083,0.726,0.183
O.14,O.14 Process Versatility,The system shall be adaptable to process at least three different types of products beyond ZBLAN within its operational lifetime,6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),0.294,0.241,0.748,0.0,0.0,0.0
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.1.4 Draw Fiber from Preform,0.479,0.311,1.232,0.071,0.156,0.16
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",2.1.4 Repair System,0.448,0.314,0.858,0.077,0.526,0.196
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",2.1.3 Detect Faults,0.403,0.192,1.437,0.0,0.0,0.0
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",1.2.3 Detect Production Anomalies,0.396,0.315,0.819,0.071,0.127,0.16
O.13,O.13 Automation,"The system shall operate autonomously for at least 95% of its production time, including the ability to automatically restart fiber production after breaks.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.388,0.522,0.18,0.059,0.156,0.113
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.4 Draw Fiber from Preform,0.463,0.312,1.01,0.143,0.157,0.298
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,2.1.4 Repair System,0.458,0.122,1.514,0.071,0.492,0.183
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.2.5.2 Amplify High Rate Transmission,0.414,0.39,0.899,0.0,0.0,0.0
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.2.2 Analyze Production Efficiency,0.375,0.293,0.798,0.067,0.119,0.149
O.12,O.12 Production Ramping,The system shall be capable of scaling production capacity from initial demonstration levels to full commercial production levels of up to 50 km of ZBLAN fiber per draw.,1.1.5 Cool/ Anneal Fiber,0.348,0.364,0.411,0.071,0.146,0.183
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",2.1.5 Test System After Repairs,0.488,0.197,1.58,0.043,0.334,0.118
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.368,0.249,1.096,0.0,0.0,0.0
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",7.1.8 Support Platform Structure,0.334,0.322,0.596,0.043,0.018,0.118
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",2.1.4 Repair System,0.332,0.257,0.603,0.045,0.334,0.144
O.11,O.11 Scalable Production,"The system shall include docking interfaces compliant with the International Docking System Standard (IDSS) to support the addition of at least two production modules post-launch, verified through interface conformity analysis and simulated docking operations.",7.1.1 Receive and Secure Modules in Orbit,0.322,0.375,0.385,0.042,0.011,0.102
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",2.1.5 Test System After Repairs,0.446,0.248,0.944,0.095,0.643,0.258
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",1.2.1 Collect Real-Time Production Data,0.363,0.349,0.767,0.0,0.0,0.0
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",2.1.2 Calibrate System,0.349,0.257,0.544,0.048,0.61,0.158
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",1.3.3 Adjust Manufacturing Parameters for Off-Nominal Conditions,0.333,0.379,0.525,0.0,0.0,0.0
O.10,O.10 Upgradable Technologies,"The system shall include modular hardware and software interfaces that support integration of at least three new manufacturing technologies or processes, as verified by simulated upgrades and functional tests during design validation.",2.1.4 Repair System,0.331,0.348,0.18,0.048,0.61,0.158
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",1.2.5 Transmit Data to Ground Control,0.52,0.505,0.762,0.111,0.132,0.289
O.9,O.9 User-Friendly Interfaces,"The system shall be compatible with NASA's Space Network (SN) ground control equipment, including the Tracking and Data Relay Satellite System (TDRSS), achieving at least 99.5% data transmission success during simulated and operational communication tests under nominal and contingency scenarios.",7.1.1 Receive and Secure Modules in Orbit,0.43,0.471,0.738,0.0,0.0,0.0
