ID,Requirement Name,Requirement Text,Activity Name,Combined Score,Semantic Score,BM25 Score,Lexical Score,Domain Score,Length Norm Score
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",5.2.1 Receive Remote Commands,0.484,0.278,1.476,0.048,0.0,0.129
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",4.2.2 Coordinate Resource Transfers (Remote coordination),0.455,0.41,0.953,0.043,0.0,0.1
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",1.2.1 Collect Real-Time Production Data,0.431,0.427,0.669,0.091,0.029,0.2
F.14,F.14 Remote Monitoring,"The system shall provide remote monitoring capabilities with a data refresh rate of no more than 1 second, allowing ground-based operators to oversee system operations in real-time, with at least 99% uptime",2.1.5.2 Remote Monitoring of Repair Testing,0.412,0.531,0.252,0.095,0.014,0.224
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,2.1.1 Inspect System,0.453,0.394,0.523,0.083,0.734,0.213
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,2.1.1.2 Monitor System Health,0.445,0.346,0.658,0.077,0.734,0.174
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,3.1.1.1 Conduct Autonomous Safety Inspections,0.411,0.584,0.145,0.071,0.018,0.151
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,3.1.1 Monitor Safety Standards (Automated safety checks),0.407,0.515,0.198,0.143,0.053,0.246
F.13,F.13 Automated Inspection,The system shall perform automated inspections of manufactured products to ensure compliance with quality standards.,2.1.2 Calibrate System,0.402,0.305,0.537,0.083,0.734,0.213
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,1.2.2 Analyze Production Efficiency,0.451,0.557,0.212,0.133,0.174,0.309
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,2.1.4 Repair System,0.407,0.326,0.583,0.067,0.625,0.189
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,1.2.3 Detect Production Anomalies,0.396,0.409,0.536,0.062,0.151,0.154
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,2.1.2 Calibrate System,0.39,0.25,0.726,0.067,0.625,0.189
F.12,F.12 Process Optimization,The system shall implement process optimization algorithms that improve manufacturing efficiency by at least 15% and reduce product defects to less than 2% of total production,6.2.3 Generate Optimization Suggestions (Autonomous optimization algorithms),0.388,0.376,0.571,0.118,0.023,0.218
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,6.1.2 Log System Data,0.531,0.216,1.43,0.071,0.843,0.167
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,2.1.1.2 Monitor System Health,0.468,0.357,0.658,0.071,0.91,0.167
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,2.1.1.1 Conduct Autonomous Diagnostics,0.437,0.483,0.735,0.0,0.0,0.0
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,2.1.4.1 Initiate Autonomous Repairs (Remote or autonomous actions),0.411,0.433,0.635,0.062,0.0,0.118
F.11,F.11 Emergency Procedures,The system shall have automated emergency shutdown and safing procedures that can be initiated within 60 seconds of detecting a critical anomaly.,2.3.2 Regulate System Temperature,0.393,0.246,0.607,0.071,0.926,0.167
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.435,0.346,1.054,0.038,0.0,0.082
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",7.1.1 Receive and Secure Modules in Orbit,0.433,0.548,0.421,0.043,0.0,0.109
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",6.1.3 Store Performance Data,0.414,0.109,1.583,0.045,0.105,0.126
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",1.2.5 Transmit Data to Ground Control,0.33,0.409,0.145,0.091,0.154,0.218
F.10,F.10 Data Security,"The system shall implement encryption and secure data transmission protocols for all data exchanges between the orbital platform and ground stations, meeting or exceeding current industry standards for data security.",2.4.2 Analyze Radiation Exposure Data,0.321,0.188,0.891,0.043,0.105,0.109
F.9,F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",2.1.4 Repair System,0.469,0.543,0.18,0.071,0.737,0.189
F.9,F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",6.2.1 Evaluate Performance Metrics (Autonomous analysis),0.364,0.118,1.468,0.0,0.0,0.0
F.9,F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",2.1.5 Test System After Repairs,0.363,0.378,0.166,0.067,0.737,0.154
F.9,F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",2.4.3 Adjust Operations for Radiation Protection,0.356,0.311,0.848,0.0,0.0,0.0
F.9,F.9 Maintenance and Serviceability,"The system shall be designed to allow for component replacement or servicing in orbit, with at least 80% of critical components being replaceable without requiring a return to Earth.",3.1.1 Monitor Safety Standards (Automated safety checks),0.353,0.305,0.85,0.0,0.0,0.0
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.321,0.283,0.758,0.0,0.0,0.0
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",6.2.2 Identify Performance Bottlenecks,0.321,0.034,1.502,0.0,0.0,0.0
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",5.1.2 Activate Backup Systems,0.312,0.175,0.558,0.067,0.66,0.154
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",2.3.2 Regulate System Temperature,0.307,0.171,0.549,0.067,0.66,0.154
F.8,F.8 Waste Management,"The system shall incorporate waste management capabilities, including the ability to recycle at least 50% of waste materials generated during the manufacturing process.",1.2.2 Analyze Production Efficiency,0.307,0.301,0.633,0.0,0.0,0.0
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,1.2.1 Collect Real-Time Production Data,0.46,0.449,0.954,0.0,0.0,0.0
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,4.2.1 Schedule Resupply Operations (Automated scheduling),0.423,0.478,0.68,0.0,0.0,0.0
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,2.1.1 Inspect System,0.416,0.277,0.682,0.077,0.778,0.204
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.406,0.489,0.563,0.0,0.0,0.0
F.7,F.7 Timeliness,The system shall ensure timely execution of manufacturing processes and respond promptly to operational commands and events.,2.1.2 Calibrate System,0.381,0.207,0.717,0.077,0.778,0.204
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.545,0.665,0.563,0.074,0.04,0.145
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",7.1.1 Receive and Secure Modules in Orbit,0.459,0.185,1.739,0.0,0.0,0.0
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",2.4.2 Analyze Radiation Exposure Data,0.386,0.312,0.895,0.04,0.022,0.096
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",8.2.7 Regulate Propellant Flow,0.381,0.173,1.385,0.0,0.0,0.0
F.6,F.6 Risk Management,"The system shall implement risk management strategies that reduce identified operational hazards by at least 90%, ensuring mission success, as verified through a risk assessment showing a reduction in risk exposure by 90% or more and achieving a residual risk level of less than 5% of the total risk exposure.",2.1.4 Repair System,0.361,0.232,0.693,0.043,0.61,0.136
F.5,F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,1.3.1 Monitor Microgravity Conditions,0.479,0.546,0.543,0.091,0.053,0.192
F.5,F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,1.3.2 Detect Off-Nominal Microgravity Conditions,0.446,0.548,0.392,0.083,0.053,0.167
F.5,F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,2.3.6 Insulate System Thermally,0.351,0.168,0.7,0.091,0.727,0.192
F.5,F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,7.1.2 Prepare for Hardware Installation,0.338,0.098,1.397,0.0,0.0,0.0
F.5,F.5 Scientific Experimentation,The system shall enable scientific experiments in microgravity alongside manufacturing operations.,1.2.1 Collect Real-Time Production Data,0.335,0.293,0.798,0.0,0.0,0.0
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.417,0.557,0.18,0.071,0.187,0.136
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,2.1.4 Repair System,0.366,0.225,0.622,0.1,0.632,0.236
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,1.1.5 Cool/ Anneal Fiber,0.362,0.362,0.411,0.1,0.187,0.236
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,5.1.2 Activate Backup Systems,0.357,0.202,0.675,0.091,0.632,0.192
F.4,F.4 Packaging and Storage,The system shall package and store completed ZBLAN fibers for return to Earth.,2.4.3 Adjust Operations for Radiation Protection,0.338,0.225,1.014,0.0,0.0,0.0
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",1.2.1 Collect Real-Time Production Data,0.521,0.552,0.571,0.158,0.132,0.308
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",2.1.2 Calibrate System,0.466,0.41,0.712,0.056,0.499,0.162
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",7.1.4 Verify Hardware Installation,0.413,0.155,1.484,0.053,0.0,0.132
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",2.1.1 Inspect System,0.393,0.366,0.478,0.056,0.499,0.162
F.3,F.3 Real-Time Monitoring,"The system shall monitor and adjust manufacturing parameters in real-time with a response time of less than 500 ms to maintain product quality, as verified through operational testing and quality control data.",4.1.3 Receive Resupply,0.385,0.225,1.252,0.0,0.0,0.0
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.4 Draw Fiber from Preform,0.48,0.408,0.43,0.333,0.25,0.577
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.5 Cool/ Anneal Fiber,0.408,0.439,0.411,0.1,0.188,0.236
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.1.3 Heat Preform,0.39,0.365,0.61,0.1,0.049,0.236
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,1.2.5.2 Amplify High Rate Transmission,0.383,0.219,1.063,0.083,0.056,0.167
F.2,F.2 Fiber Drawing,The system shall draw ZBLAN fibers from the heated preform at a consistent rate.,2.1.4 Repair System,0.358,0.147,0.818,0.1,0.632,0.236
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,2.1.4 Repair System,0.395,0.229,0.809,0.083,0.572,0.213
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,1.1.4 Draw Fiber from Preform,0.38,0.304,0.742,0.077,0.17,0.174
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,1.1.6 Spool Fiber,0.363,0.352,0.485,0.083,0.17,0.213
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,1.2.3 Detect Production Anomalies,0.347,0.226,0.822,0.077,0.138,0.174
F.1,F.1 Secondary Missions,The system shall support secondary missions without compromising primary ZBLAN fiber production objectives.,4.2.3 Prepare Fiber for Transport (Automated handling and packaging),0.336,0.43,0.18,0.062,0.17,0.123
C.11,C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.,2.1.4 Repair System,0.432,0.343,0.709,0.091,0.452,0.213
C.11,C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.,7.2.3 Install/Activate Software,0.353,0.121,1.401,0.0,0.0,0.0
C.11,C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.,2.1.5 Test System After Repairs,0.329,0.339,0.229,0.083,0.452,0.174
C.11,C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.,3.2.2 Analyze Safety Data,0.301,0.286,0.647,0.0,0.0,0.0
C.11,C.11 Technology Readiness,All components of the system shall be at Technology Readiness Level (TRL) 6 or higher before integration into the final system.,2.1.2 Calibrate System,0.295,0.266,0.252,0.091,0.452,0.213
C.10,C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,5.1.1 Initiate System Restarts,0.356,0.179,0.62,0.091,0.87,0.192
C.10,C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,2.1.2 Calibrate System,0.318,0.137,0.523,0.1,0.87,0.236
C.10,C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,7.2.4 Verify Software Installation,0.312,0.071,1.348,0.0,0.0,0.0
C.10,C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,5.1.2 Activate Backup Systems,0.308,0.238,0.205,0.091,0.87,0.192
C.10,C.10 Economic Viability,The system shall demonstrate a positive return on investment within 5 years of full operational capability.,2.1.1 Inspect System,0.299,0.121,0.478,0.1,0.87,0.236
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,3.3.3 Execute End-of-Life Deorbiting Procedures,0.39,0.5,0.156,0.143,0.039,0.27
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,2.1.4 Repair System,0.386,0.372,0.18,0.083,0.886,0.213
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,2.1.5 Test System After Repairs,0.374,0.271,0.449,0.077,0.886,0.174
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,2.3.2 Regulate System Temperature,0.351,0.199,0.549,0.077,0.886,0.174
C.9,C.9 End-of-Life Management,The system shall have a defined end-of-life plan that includes safe deorbiting or repurposing of at least 90% of its components.,2.1.1.1 Conduct Autonomous Diagnostics,0.341,0.243,0.975,0.0,0.0,0.0
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,8.1.2 Calculate Orbital Adjustments,0.44,0.257,1.426,0.0,0.0,0.0
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,2.3.2 Regulate System Temperature,0.309,0.158,0.517,0.083,0.758,0.183
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,7.1.1 Receive and Secure Modules in Orbit,0.309,0.416,0.121,0.077,0.042,0.158
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,2.1.2 Calibrate System,0.293,0.229,0.198,0.091,0.758,0.224
C.8,C.8 Regulatory Compliance,The system shall adhere to international space treaties and regulations governing manufacturing in orbit.,3.1.1 Monitor Safety Standards (Automated safety checks),0.287,0.301,0.53,0.0,0.0,0.0
C.7,C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",8.2.1 Execute Orbital Maneuvers,0.365,0.163,1.337,0.0,0.0,0.0
C.7,C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",4.1.2 Request Resupply (Autonomous resupply request),0.308,0.221,0.876,0.0,0.0,0.0
C.7,C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",7.1.8 Support Platform Structure,0.284,0.199,0.596,0.111,0.036,0.192
C.7,C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",4.1.3.1 Coordinate Automated Resource Transfer,0.273,0.264,0.574,0.0,0.0,0.0
C.7,C.7 Payload Interference,"The system shall not interfere with other payloads or operations on the host platform, if the system is being hosted.",7.1.1 Receive and Secure Modules in Orbit,0.251,0.365,0.158,0.0,0.0,0.0
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",3.1.1 Monitor Safety Standards (Automated safety checks),0.395,0.344,0.942,0.0,0.0,0.0
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",8.1.1 Monitor Orbital Parameters,0.382,0.329,0.836,0.032,0.0,0.104
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",2.4.1 Monitor Radiation Levels,0.369,0.274,1.02,0.0,0.0,0.0
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",7.1.1 Receive and Secure Modules in Orbit,0.368,0.367,0.649,0.031,0.031,0.09
C.6,C.6 Environmental Impact,"The system shall comply with ISO 24113:2019 Space Debris Mitigation Requirements by preventing the generation of debris larger than 1 mm during its operational lifetime and ensuring end-of-life disposal via controlled re-entry within 25 years or transfer to a disposal orbit with a minimum perigee altitude of 2,000 km, as verified through orbital decay analysis.",8.1.2 Calculate Orbital Adjustments,0.36,0.296,0.828,0.032,0.0,0.104
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,2.4.3 Adjust Operations for Radiation Protection,0.368,0.314,0.896,0.0,0.0,0.0
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,2.1.2 Calibrate System,0.351,0.209,0.544,0.111,0.703,0.236
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,2.1.1 Inspect System,0.338,0.193,0.533,0.111,0.703,0.236
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,2.3.2 Regulate System Temperature,0.327,0.115,0.739,0.1,0.703,0.192
C.5,C.5 Approved Materials,The system shall use only materials and processes approved for use in the space environment.,5.1.2 Activate Backup Systems,0.319,0.163,0.558,0.1,0.703,0.192
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",2.1.5 Test System After Repairs,0.364,0.185,0.774,0.042,0.77,0.123
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",1.1.3.1 Hold Heater,0.346,0.047,1.586,0.0,0.0,0.0
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",3.1.1 Monitor Safety Standards (Automated safety checks),0.333,0.452,0.198,0.038,0.056,0.087
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.314,0.33,0.577,0.0,0.0,0.0
C.4,C.4 National Goals,"The system shall demonstrate compatibility with at least 90% of technical standards and objectives outlined in the latest published guidance from relevant government agencies (e.g., NASA's Exploration Goals), verified through compliance assessments and interface certifications.",7.2.4 Verify Software Installation,0.312,0.251,0.705,0.042,0.0,0.123
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,4.1.2 Request Resupply (Autonomous resupply request),0.375,0.291,1.004,0.0,0.0,0.0
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,2.3.2 Regulate System Temperature,0.366,0.259,0.517,0.091,0.707,0.183
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,2.2.2 Condition Power,0.365,0.392,0.396,0.1,0.085,0.224
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,1.1.3.2 Rotate Heater Stage,0.352,0.115,1.413,0.0,0.0,0.0
C.3,C.3 Power Budget,The system shall operate within the power budget allocated by the host space platform if it is being hosted,8.2.1 Execute Orbital Maneuvers,0.31,0.147,1.11,0.0,0.0,0.0
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,3.3.1 Monitor Orbital Environment for Debris,0.401,0.546,0.17,0.091,0.036,0.177
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,8.1.2 Calculate Orbital Adjustments,0.378,0.289,1.023,0.0,0.0,0.0
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,3.1.1 Monitor Safety Standards (Automated safety checks),0.327,0.369,0.53,0.0,0.0,0.0
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,2.1.5 Test System After Repairs,0.319,0.155,0.515,0.1,0.826,0.204
C.2,C.2 Debris Mitigation,The system shall adhere to international space debris mitigation guidelines.,2.4.3 Adjust Operations for Radiation Protection,0.315,0.451,0.22,0.0,0.0,0.0
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,3.1.1 Monitor Safety Standards (Automated safety checks),0.508,0.564,0.53,0.143,0.106,0.246
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,1.3.1 Monitor Microgravity Conditions,0.403,0.327,1.033,0.0,0.0,0.0
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,3.2.3 Implement Safety Measures (Automated actions to mitigate risk),0.367,0.482,0.242,0.059,0.061,0.114
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,2.1.5 Test System After Repairs,0.364,0.25,0.597,0.077,0.62,0.174
C.1,C.1 Safety Compliance,The system shall comply with all relevant NASA safety standards for operation on crewed space platforms.,3.1.1.1 Conduct Autonomous Safety Inspections,0.354,0.482,0.145,0.071,0.061,0.151
